task,#examples,#sketched,#solutions,#before_dominance
tson,10,5,58,426
tson,12,5,58,426
tson,14,5,58,426
tson,16,5,58,426
tson,18,5,58,390
tson,20,5,58,390
tson,20,5,58,390
tson,30,5,58,390
tson,40,5,58,390
tson,50,5,58,390
tson,60,5,58,390
tson,70,5,58,390
tson,80,5,58,390
tson,90,5,58,390
tson,100,5,58,390
ours,2,5,23,450
ours,4,5,19,387
ours,6,5,19,369
ours,8,5,18,360
ours,10,5,18,360
ours,12,5,18,360
ours,14,5,18,351
ours,16,5,18,351
ours,18,5,18,351
ours,20,5,18,351
ours,20,5,18,351
ours,30,5,18,351
ours,40,5,18,351
ours,50,5,18,351
ours,60,5,18,351
ours,70,5,18,351
ours,80,5,18,351
ours,90,5,18,351
ours,100,5,18,351
potassco,2,5,3,5
potassco,4,5,2,2
potassco,6,5,2,2
potassco,8,5,2,2
potassco,10,5,2,2
potassco,12,5,2,2
potassco,14,5,2,2
potassco,16,5,2,2
potassco,18,5,2,2
potassco,20,5,2,2
potassco,20,5,2,2
potassco,30,5,2,2
potassco,40,5,2,2
potassco,50,5,2,2
potassco,60,5,2,2
potassco,70,5,2,2
potassco,80,5,2,2
potassco,90,5,2,2
potassco,100,5,2,2
hakank,2,5,10,108
hakank,4,5,8,102
hakank,6,5,8,90
hakank,8,5,8,78
hakank,10,5,8,78
hakank,12,5,8,78
hakank,14,5,8,78
hakank,16,5,8,78
hakank,18,5,8,78
hakank,20,5,8,78
hakank,20,5,8,78
hakank,30,5,8,78
hakank,40,5,8,78
hakank,50,5,8,78
hakank,60,5,8,78
hakank,70,5,8,78
hakank,80,5,8,78
hakank,90,5,8,78
hakank,100,5,8,78
tson,2,5,54,936
tson,4,5,54,936
tson,6,5,54,936
tson,8,5,54,936
tson,10,5,54,936
tson,12,5,54,936
tson,14,5,24,416
tson,16,5,24,416
tson,18,5,24,416
tson,20,5,24,416
tson,20,5,24,416
tson,30,5,24,416
tson,40,5,24,416
tson,50,5,24,416
tson,60,5,24,416
tson,70,5,24,416
tson,80,5,24,416
tson,90,5,24,416
tson,100,5,24,416
ours,2,5,16,198
ours,4,5,14,162
ours,6,5,14,126
ours,8,5,14,126
ours,10,5,14,126
ours,12,5,14,126
ours,14,5,14,126
ours,16,5,14,126
ours,18,5,14,126
ours,20,5,14,126
ours,20,5,14,126
ours,30,5,14,126
ours,40,5,14,126
ours,50,5,14,126
ours,60,5,14,126
ours,70,5,14,126
ours,80,5,14,126
ours,90,5,14,126
ours,100,5,14,126
